Brand,Product,Barcode,Stock,Price,MOQ,GTIN,Target price,TargetPrice,OriginalPrice,PercentToTarget,Reduction_Factor
Mary&May,(EU) Niacinamide + Chaenomeles Sinensis Serum 30ml,8809670680848,267,4.65716,24,8809670680848,4.66,4.66,6.73,0.308,0.308
Numbuzin,No.3 Skin Softening Serum 50ml,8809652580036,0,8.4,24,,,0.0,8.4,0.0,0.0
Dr.Althea,Marine Anti-Blemish Mask 5ea,8809447251998,1112,5.789770000000001,24,8809447251998,5.79,5.79,7.49,0.227,0.227
Heimish,Watermelon Moisture Soothing Gel Cream 110ml,8809481761378,626,6.121799999999999,24,8809481761378,6.12,6.12,8.95,0.316,0.316
Dr.Althea,Jelly Seal Dewy Mask (28g*4EA),8809447255743,0,5.67,24,,,0.0,5.67,0.0,0.0
Dr.Althea,Cushion Veil Calming Mask 35g*4EA,8809447255729,0,6.8,24,,,0.0,6.8,0.0,0.0
ARENCIA,(EU Package) Fresh Red Smoothie Serum 30 50g,8809562191889,2500,9.7474,24,8809562191889,9.75,9.75,11.96,0.185,0.185
TOCOBO,JUICY BERRY PLUMPING LIP OIL 07 PLUM JAM,8809835061529,878,3.42848,24,8809835061529,3.43,3.43,4.87,0.296,0.296
BIODANCE,Skin-Glow Essence Cream 50ml,8809937361701,260,12.63221,24,8809937361701,12.63,12.63,18.77,0.327,0.327
KSECRET,(GLOBAL) Cream : Retinal Liposome 1% + Fermented Rice,8809695240584,0,11.56,24,,,0.0,11.56,0.0,0.0
TOCOBO,LEMON SUGAR SCRUB LIP MASK 20ml,8809835062014,269,5.13994,24,8809835062014,5.14,5.14,7.46,0.311,0.311
ISNTREE,(EU) GREEN TEA FRESH SERUM 50ml,8809738322154,1359,8.74016,24,8809738322154,8.74,8.74,11.44,0.236,0.236
TOCOBO,JUICY BERRY PLUMPING LIP OIL 02 BERRY BRANDY,8809835061482,853,3.42848,24,8809835061482,3.43,3.43,4.87,0.296,0.296
PURITO SEOUL,Timeless Bloom Retinol Spot Cream 30ml,8809563103065,2308,8.254349999999999,24,8809563103065,8.25,8.25,10.79,0.235,0.235
TOCOBO,Powder Cream Lip Balm 031 Rose Burn,8809835060799,0,6.4,24,,,0.0,6.4,0.0,0.0
COSRX,Airy-Light Invisible SunStick 19g (EU Package),8809598457201,283,7.60392,24,8809598457201,7.6,7.6,10.74,0.292,0.292
